date,platform,campaign_id,campaign_name,ad_group_or_ad_set,ad_name,landing_page,spend,impressions,clicks,sessions,engaged_sessions,form_starts,form_submits,leads,qualified_leads,meeting_booked,deals_won,revenue,lead_quality,ctr,cpc,cpm,cpl,conversion_rate,engagement_rate,form_completion_rate,cost_per_qualified_lead,lead_to_qualified_rate,roas
2026-05-01,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,Performance Max Asset Group,PMax Clinic Lead Form,/clinic-leads,4800,42000,520,500,210,60,8,8,3,2,0,0,Poor,1.24,9.23,114.29,600.0,1.54,42.0,13.33,1600.0,37.5,0.0
2026-05-01,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Search Ad Emergency Pain,/dental-emergency,4200,18000,720,690,455,70,18,18,10,6,2,24000,Good,4.0,5.83,233.33,233.33,2.5,65.94,25.71,420.0,55.56,5.71
2026-05-01,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,Dental Implant Keywords,Search Ad Implant Cost,/dental-implants,5200,24000,360,340,105,42,6,6,2,1,0,0,Poor,1.5,14.44,216.67,866.67,1.67,30.88,14.29,2600.0,33.33,0.0
2026-05-01,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,Root Canal Keywords,Search Ad Pain Relief,/root-canal,3100,14500,480,460,320,48,14,14,8,5,2,26000,Good,3.31,6.46,213.79,221.43,2.92,69.57,29.17,387.5,57.14,8.39
2026-05-01,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,CTO Target Accounts,Thought Leadership Ad,/enterprise-demo,4200,9000,120,118,82,15,2,2,1,1,0,0,Average,1.33,35.0,466.67,2100.0,1.67,69.49,13.33,4200.0,50.0,0.0
2026-05-01,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,IT Managers India,Document Ad SaaS ROI,/saas-demo,3000,12000,180,175,115,25,4,4,3,2,1,85000,Good,1.5,16.67,250.0,750.0,2.22,65.71,16.0,1000.0,75.0,28.33
2026-05-01,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,Local Adults 25-55,Static Creative Smile Checkup,/dental-checkup,2200,36000,295,285,130,35,10,10,5,3,1,10000,Average,0.82,7.46,61.11,220.0,3.39,45.61,28.57,440.0,50.0,4.55
2026-05-01,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45 Nagpur,Static Creative Trust,/tuition-classes,2600,52000,310,300,95,52,11,11,3,1,0,0,Poor,0.6,8.39,50.0,236.36,3.55,31.67,21.15,866.67,27.27,0.0
2026-05-01,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,Website Visitors 30 Days,Remarketing Offer Static,/tuition-classes,1600,18000,260,250,150,42,13,13,8,4,1,12000,Good,1.44,6.15,88.89,123.08,5.0,60.0,30.95,200.0,61.54,7.5
2026-05-02,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,Performance Max Asset Group,PMax Doctor Trust Creative,/clinic-leads,5000,45000,560,540,225,65,9,9,4,2,1,18000,Average,1.24,8.93,111.11,555.56,1.61,41.67,13.85,1250.0,44.44,3.6
2026-05-02,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Search Ad Same Day Appointment,/dental-emergency,3900,17000,690,660,430,66,17,17,9,5,2,22000,Good,4.06,5.65,229.41,229.41,2.46,65.15,25.76,433.33,52.94,5.64
2026-05-02,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,Dental Implant Keywords,Search Ad Implant Consultation,/dental-implants,5400,25000,390,365,115,44,7,7,3,2,1,45000,Average,1.56,13.85,216.0,771.43,1.79,31.51,15.91,1800.0,42.86,8.33
2026-05-02,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,Root Canal Keywords,Search Ad Expert Dentist,/root-canal,3300,15200,500,480,335,50,15,15,9,5,2,28000,Good,3.29,6.6,217.11,220.0,3.0,69.79,30.0,366.67,60.0,8.48
2026-05-02,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,CTO Target Accounts,Case Study Ad,/enterprise-demo,4300,9200,125,122,86,16,2,2,1,1,0,0,Average,1.36,34.4,467.39,2150.0,1.6,70.49,12.5,4300.0,50.0,0.0
2026-05-02,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,IT Managers India,Single Image Demo CTA,/saas-demo,3100,12500,190,185,122,27,5,5,3,2,1,90000,Good,1.52,16.32,248.0,620.0,2.63,65.95,18.52,1033.33,60.0,29.03
2026-05-02,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,Local Adults 25-55,Video Creative Dentist Intro,/dental-checkup,2300,38000,305,295,135,36,10,10,5,3,1,11000,Average,0.8,7.54,60.53,230.0,3.28,45.76,27.78,460.0,50.0,4.78
2026-05-02,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45 Nagpur,Video Creative Results,/tuition-classes,2800,56000,335,325,98,55,11,11,4,1,0,0,Poor,0.6,8.36,50.0,254.55,3.28,30.15,20.0,700.0,36.36,0.0
2026-05-02,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,Website Visitors 30 Days,Remarketing Parent Testimonial,/tuition-classes,1700,19000,275,265,158,44,14,14,9,5,1,14000,Good,1.45,6.18,89.47,121.43,5.09,59.62,31.82,188.89,64.29,8.24
2026-05-03,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,Performance Max Asset Group,PMax Family Dental Creative,/clinic-leads,5100,47000,575,555,230,66,9,9,4,2,1,20000,Average,1.22,8.87,108.51,566.67,1.57,41.44,13.64,1275.0,44.44,3.92
2026-05-03,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Search Ad Clinic Near Me,/dental-emergency,4100,17500,710,685,445,69,18,18,10,6,2,25000,Good,4.06,5.77,234.29,227.78,2.54,64.96,26.09,410.0,55.56,6.1
2026-05-03,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,Dental Implant Keywords,Search Ad Smile Restoration,/dental-implants,5600,25500,405,380,118,45,7,7,3,2,1,48000,Average,1.59,13.83,219.61,800.0,1.73,31.05,15.56,1866.67,42.86,8.57
2026-05-03,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,Root Canal Keywords,Search Ad Save Tooth,/root-canal,3250,14900,495,475,330,49,15,15,9,6,2,30000,Good,3.32,6.57,218.12,216.67,3.03,69.47,30.61,361.11,60.0,9.23
