date,platform,campaign_id,campaign_name,sessions,engaged_sessions,form_starts,form_submits,landing_page
2026-05-01,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,690,455,70,18,/dental-emergency
2026-05-02,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,660,430,66,17,/dental-emergency
2026-05-03,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,685,445,69,18,/dental-emergency
2026-05-01,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,340,105,42,6,/dental-implants
2026-05-02,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,365,115,44,7,/dental-implants
2026-05-03,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,380,118,45,7,/dental-implants
2026-05-01,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,500,210,60,8,/clinic-leads
2026-05-02,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,540,225,65,9,/clinic-leads
2026-05-03,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,555,230,66,9,/clinic-leads
2026-05-01,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,460,320,48,14,/root-canal
2026-05-02,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,480,335,50,15,/root-canal
2026-05-03,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,475,330,49,15,/root-canal
2026-05-01,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,300,95,52,11,/tuition-classes
2026-05-02,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,325,98,55,11,/tuition-classes
2026-05-03,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,345,102,58,12,/tuition-classes
2026-05-01,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,250,150,42,13,/tuition-classes
2026-05-02,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,265,158,44,14,/tuition-classes
2026-05-03,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,260,154,43,14,/tuition-classes
2026-05-01,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,285,130,35,10,/dental-checkup
2026-05-02,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,295,135,36,10,/dental-checkup
2026-05-03,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,318,140,38,11,/dental-checkup
2026-05-01,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,175,115,25,4,/saas-demo
2026-05-02,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,185,122,27,5,/saas-demo
2026-05-03,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,190,125,28,5,/saas-demo
2026-05-01,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,118,82,15,2,/enterprise-demo
2026-05-02,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,122,86,16,2,/enterprise-demo
2026-05-03,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,127,90,17,3,/enterprise-demo
