date,platform,campaign_name,ad_group_or_ad_set,ad_name,issue,reason,recommended_action,priority,human_approval_required
2026-05-01,Google Ads,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Emergency Dentist RSA 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-01,Google Ads,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Emergency Dentist RSA 01,Scale Candidate,Campaign has efficient CPL and good lead quality.,"Increase budget gradually, monitor CPL/lead quality, and test similar audiences or keywords.",Medium,Yes
2026-05-01,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Landing Page Issue,Campaign is generating clicks but conversion rate is weak.,"Review landing page speed, CTA placement, form visibility, trust signals, and offer match.",High,Yes
2026-05-01,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-01,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Traffic Quality Issue,Sessions are coming in but engagement rate is weak.,"Review audience, placements, search terms, landing page relevance, and ad-message alignment.",Medium,Yes
2026-05-01,Google Ads,GOOGLE_PMAX_Clinic_Leads_Nagpur,Asset Group 01,PMax Asset Mix 01,Landing Page Issue,Campaign is generating clicks but conversion rate is weak.,"Review landing page speed, CTA placement, form visibility, trust signals, and offer match.",High,Yes
2026-05-01,Google Ads,GOOGLE_PMAX_Clinic_Leads_Nagpur,Asset Group 01,PMax Asset Mix 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-01,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 01,Creative Issue,Campaign has high impressions but low CTR.,"Test new hooks, visuals, headlines, CTAs, and audience-message alignment.",High,Yes
2026-05-01,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 01,Landing Page Issue,Campaign is generating clicks but conversion rate is weak.,"Review landing page speed, CTA placement, form visibility, trust signals, and offer match.",High,Yes
2026-05-01,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-01,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 01,Lead Quality Issue,Campaign is generating leads but quality is poor.,"Improve targeting, add qualifying questions, refine offer, and connect CRM feedback to campaign reports.",High,Yes
2026-05-01,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 01,Traffic Quality Issue,Sessions are coming in but engagement rate is weak.,"Review audience, placements, search terms, landing page relevance, and ad-message alignment.",Medium,Yes
2026-05-01,Meta Ads,META_REMARKETING_Tuition_Warm_Audience,Website Visitors,Testimonial Creative 01,Scale Candidate,Campaign has efficient CPL and good lead quality.,"Increase budget gradually, monitor CPL/lead quality, and test similar audiences or keywords.",Medium,Yes
2026-05-01,LinkedIn Ads,LINKEDIN_LEAD_B2B_SaaS_Demo,Marketing Managers,Lead Gen Creative 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-02,Google Ads,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Emergency Dentist RSA 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-02,Google Ads,GOOGLE_SEARCH_Dental_Emergency_Nagpur,Emergency Dentist Keywords,Emergency Dentist RSA 01,Scale Candidate,Campaign has efficient CPL and good lead quality.,"Increase budget gradually, monitor CPL/lead quality, and test similar audiences or keywords.",Medium,Yes
2026-05-02,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Landing Page Issue,Campaign is generating clicks but conversion rate is weak.,"Review landing page speed, CTA placement, form visibility, trust signals, and offer match.",High,Yes
2026-05-02,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-02,Google Ads,GOOGLE_SEARCH_Dental_Implants_Nagpur,Implant Keywords,Dental Implant RSA 01,Traffic Quality Issue,Sessions are coming in but engagement rate is weak.,"Review audience, placements, search terms, landing page relevance, and ad-message alignment.",Medium,Yes
2026-05-02,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 02,Creative Issue,Campaign has high impressions but low CTR.,"Test new hooks, visuals, headlines, CTAs, and audience-message alignment.",High,Yes
2026-05-02,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 02,Landing Page Issue,Campaign is generating clicks but conversion rate is weak.,"Review landing page speed, CTA placement, form visibility, trust signals, and offer match.",High,Yes
2026-05-02,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 02,Form Friction,Users are starting the form but not completing it.,"Reduce form fields, improve mobile UX, check technical errors, and add trust elements near the form.",Medium,Yes
2026-05-02,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 02,Lead Quality Issue,Campaign is generating leads but quality is poor.,"Improve targeting, add qualifying questions, refine offer, and connect CRM feedback to campaign reports.",High,Yes
2026-05-02,Meta Ads,META_LEAD_Parents_Tuition_Nagpur,Parents 25-45,Static Creative 02,Traffic Quality Issue,Sessions are coming in but engagement rate is weak.,"Review audience, placements, search terms, landing page relevance, and ad-message alignment.",Medium,Yes
2026-05-02,Meta Ads,META_REMARKETING_Tuition_Warm_Audience,Website Visitors,Testimonial Creative 02,Scale Candidate,Campaign has efficient CPL and good lead quality.,"Increase budget gradually, monitor CPL/lead quality, and test similar audiences or keywords.",Medium,Yes
