date,platform,campaign_id,campaign_name,leads,qualified_leads,meeting_booked,deals_won,revenue,lead_quality
2026-05-01,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,18,10,6,2,24000,Good
2026-05-02,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,17,9,5,2,22000,Good
2026-05-03,Google Ads,GADS001,GOOGLE_SEARCH_Dental_Emergency_Nagpur,18,10,6,2,25000,Good
2026-05-01,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,6,2,1,0,0,Poor
2026-05-02,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,7,3,2,1,45000,Average
2026-05-03,Google Ads,GADS002,GOOGLE_SEARCH_Dental_Implants_Nagpur,7,3,2,1,48000,Average
2026-05-01,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,8,3,2,0,0,Poor
2026-05-02,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,9,4,2,1,18000,Average
2026-05-03,Google Ads,GADS003,GOOGLE_PMAX_Clinic_Leads_Nagpur,9,4,2,1,20000,Average
2026-05-01,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,14,8,5,2,26000,Good
2026-05-02,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,15,9,5,2,28000,Good
2026-05-03,Google Ads,GADS004,GOOGLE_SEARCH_Root_Canal_Nagpur,15,9,6,2,30000,Good
2026-05-01,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,11,3,1,0,0,Poor
2026-05-02,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,11,4,1,0,0,Poor
2026-05-03,Meta Ads,META001,META_LEAD_Parents_Tuition_Nagpur,12,4,2,0,0,Poor
2026-05-01,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,13,8,4,1,12000,Good
2026-05-02,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,14,9,5,1,14000,Good
2026-05-03,Meta Ads,META002,META_REMARKETING_Tuition_Warm_Audience,14,9,5,1,15000,Good
2026-05-01,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,10,5,3,1,10000,Average
2026-05-02,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,10,5,3,1,11000,Average
2026-05-03,Meta Ads,META003,META_LEAD_Dental_Checkup_Nagpur,11,6,3,1,12000,Average
2026-05-01,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,4,3,2,1,85000,Good
2026-05-02,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,5,3,2,1,90000,Good
2026-05-03,LinkedIn Ads,LI001,LINKEDIN_LEAD_B2B_SaaS_Demo,5,4,3,1,95000,Good
2026-05-01,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,2,1,1,0,0,Average
2026-05-02,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,2,1,1,0,0,Average
2026-05-03,LinkedIn Ads,LI002,LINKEDIN_ABM_CTO_Target_Accounts,3,2,1,1,120000,Good
